income_stability,average_eligible_emi,average_usable_salary,average_monthly_credit,employer_category,employment_tenure_years,average_month_end_balance,bounce_count,gambling_transaction_count,active_loans_count,has_credit_card,has_personal_loan,has_home_loan,credit_exposure_intensity,average_obligation_to_income_ratio,credit_score
STABLE,50390.18,141932,363258.21,Category B (Private Ltd),2.95,7285.71,0,0,2,0,1,0,3,14.79,686
FLUCTUATING,78874.08,262709,784034.81,Category B (Private Ltd),4.73,3172.37,0,0,3,1,1,1,4,41.14,593
STABLE,35176.42,77435,169182.24,Category A (MNC/Govt/PSU),4.68,1227.7,1,0,1,1,0,0,2,35.89,604
STABLE,113193.83,261995,325941.81,Category B (Private Ltd),0.17,377834.49,0,0,5,1,1,1,6,56.47,711
STABLE,123516.8,212283,592196.27,Category B (Private Ltd),12.75,5867.17,0,0,4,0,1,1,5,55.87,668
STABLE,109849.31,227851,353624.38,Category A (MNC/Govt/PSU),0.9,10961.03,0,0,2,0,1,0,2,70.08,599
FLUCTUATING,7303.29,22666,38915.97,Category A (MNC/Govt/PSU),9.94,40533.85,0,0,4,1,0,1,4,60.26,640
FLUCTUATING,87814.75,211664,623016.94,Category C (Partnership/Proprietorship),6.4,302494.94,0,0,1,1,0,0,2,47.34,657
STABLE,114437.09,258550,549819.8,Category B (Private Ltd),0.75,721674.39,0,0,2,0,0,1,2,23.7,738
STABLE,67123.3,119556,311723.64,Category A (MNC/Govt/PSU),11.15,487275.91,1,0,0,0,0,0,0,29.37,764
STABLE,77005.22,137948,139866.07,Category B (Private Ltd),2.7,106958.5,0,0,5,1,1,1,6,54.1,706
STABLE,29055.8,49353,74205.42,Category B (Private Ltd),1.79,18608.91,0,0,5,1,1,1,5,33.68,675
STABLE,64499.6,187789,371616.69,Unlisted,1.39,724071.97,0,0,4,1,1,0,5,93.59,625
STABLE,17988.35,32671,53631.41,Category A (MNC/Govt/PSU),0.21,112790.39,0,0,2,0,0,1,3,64.84,714
UNSTABLE,37015.68,81295,217498.29,Category B (Private Ltd),6.64,227540.66,0,0,1,0,1,0,2,57.19,681
STABLE,56629.72,172688,482564.79,Unlisted,5.01,323998.25,0,0,5,1,1,1,6,85.46,634
STABLE,22876.11,42711,99857.31,Category B (Private Ltd),2.33,208155.75,0,0,1,0,0,0,2,48.12,749
